"","poll_id","pollster_id","numeric_grade","pollscore","methodology","state","start_date","end_date","sample_size","population","candidate_name","pct"
"1",773,38,7.38,-0.36,"In-Person","Oregon",2024-07-05,2024-07-12,5996,"registered voters","Kamala Harris",61.8
"2",101,10,3.55,0.26,"Online","Georgia",2024-04-04,2024-04-07,3322,"registered voters","Kamala Harris",38.8
"3",170,84,3.87,-0.05,"Hybrid","Missouri",2024-09-20,2024-09-23,167,"registered voters","other",54.8
"4",462,17,1.9,0.73,"Online","Tennessee",2024-03-29,2024-04-01,1566,"likely voters","Kamala Harris",68.3
"5",376,11,5.03,0.7,"Online","Missouri",2024-01-18,2024-01-20,5043,"likely voters","Donald Trump",59.1
"6",73,83,5.82,-0.63,"Online","Washington",2024-05-31,2024-06-01,9477,"registered voters","Donald Trump",64.1
"7",165,60,2.24,-0.67,"In-Person","Washington",2024-01-03,2024-01-06,3775,"likely voters","Kamala Harris",65.2
"8",21,37,5.32,-0.73,"Hybrid","Missouri",2024-10-02,2024-10-06,7570,"likely voters","other",42.8
"9",921,25,9.45,0.19,"Hybrid","Florida",2024-10-04,2024-10-06,674,"registered voters","other",33.8
"10",408,44,2.35,0.63,"Online","Ohio",2024-07-29,2024-08-04,3424,"registered voters","Donald Trump",44.1
"11",425,26,8.41,-0.78,"Hybrid","Alaska",2024-02-21,2024-02-27,2155,"registered voters","Kamala Harris",46.9
"12",861,7,6.18,0.82,"Hybrid","Rhode Island",2024-01-19,2024-01-21,4515,"registered voters","Kamala Harris",49.5
"13",608,64,3.29,0.98,"In-Person","Texas",2024-07-16,2024-07-18,4493,"likely voters","Donald Trump",55.1
"14",572,82,1.73,0.84,"Online","Rhode Island",2024-06-14,2024-06-16,1071,"registered voters","Donald Trump",42.1
"15",661,73,3.06,-0.93,"In-Person","New Hampshire",2024-09-29,2024-10-05,8858,"likely voters","Donald Trump",41
"16",807,61,4.64,0.85,"In-Person","Indiana",2024-10-09,2024-10-12,6987,"likely voters","other",69.6
"17",105,50,9.44,0.87,"Online","Washington",2024-01-31,2024-02-06,5994,"registered voters","other",58.1
"18",593,83,9.45,-0.7,"Online","Massachusetts",2024-07-20,2024-07-23,2634,"registered voters","other",43.2
"19",181,37,0.47,-0.19,"In-Person","Connecticut",2024-05-23,2024-05-26,7606,"likely voters","other",60.3
"20",65,96,6.18,0.11,"In-Person","Pennsylvania",2024-05-25,2024-05-31,4039,"registered voters","Kamala Harris",33.9
"21",886,55,7.76,0.58,"Hybrid","Massachusetts",2024-07-26,2024-08-02,2009,"registered voters","other",31.8
"22",96,24,2,0.17,"Hybrid","North Carolina",2024-05-15,2024-05-21,9468,"likely voters","Donald Trump",65.5
"23",788,25,4.19,-0.06,"Online","Montana",2024-05-10,2024-05-12,9335,"likely voters","Donald Trump",43
"24",7,60,3.26,-0.79,"Online","Wisconsin",2024-04-20,2024-04-24,8952,"registered voters","Donald Trump",54.4
"25",670,39,6.23,-0.21,"In-Person","Massachusetts",2024-03-11,2024-03-18,6111,"likely voters","other",42.7
"26",375,92,4.5,-0.93,"In-Person","Oregon",2024-07-21,2024-07-27,8280,"likely voters","other",46.3
"27",310,33,0.06,-0.1,"Hybrid","Indiana",2024-10-03,2024-10-05,4857,"likely voters","Kamala Harris",41.2
"28",487,32,5.58,0.75,"In-Person","Kansas",2024-05-20,2024-05-21,5436,"likely voters","other",63.8
"29",540,23,7.19,0.37,"Hybrid","Rhode Island",2024-04-03,2024-04-09,3483,"registered voters","other",46.5
"30",412,49,4.76,-0.92,"In-Person","Minnesota",2024-07-16,2024-07-19,5413,"registered voters","Donald Trump",45.6
"31",930,90,8.56,0.33,"In-Person","Minnesota",2024-03-20,2024-03-23,3447,"likely voters","Kamala Harris",60.3
"32",877,29,2.6,0.89,"Online","Mississippi",2024-07-16,2024-07-22,3706,"likely voters","Donald Trump",30.8
"33",61,49,4.64,0.18,"Hybrid","Hawaii",2024-02-01,2024-02-04,3728,"likely voters","Kamala Harris",61.3
"34",616,67,2.76,0.43,"Hybrid","Tennessee",2024-09-26,2024-10-03,1231,"likely voters","Kamala Harris",65.9
"35",96,93,7.99,0.86,"Hybrid","Louisiana",2024-04-15,2024-04-22,8717,"registered voters","Kamala Harris",63.8
"36",982,44,7.8,0.47,"Hybrid","Connecticut",2024-03-17,2024-03-20,2898,"likely voters","other",45.8
"37",320,86,3.4,0.49,"Hybrid","Nebraska",2024-01-31,2024-02-04,6459,"registered voters","Kamala Harris",54.1
"38",985,84,5.55,-0.13,"In-Person","Washington",2024-03-31,2024-04-06,4347,"registered voters","other",34.4
"39",466,32,4.14,0.94,"In-Person","Rhode Island",2024-07-09,2024-07-15,7312,"likely voters","other",38.7
"40",258,76,2.32,-0.98,"Online","Colorado",2024-10-10,2024-10-13,6738,"likely voters","Donald Trump",54
"41",470,10,3.52,0.91,"In-Person","North Carolina",2024-04-07,2024-04-12,1480,"registered voters","other",34
"42",358,86,9.35,0.04,"Hybrid","Florida",2024-07-30,2024-08-02,7614,"registered voters","other",50.6
"43",724,98,1.44,-0.39,"Online","Maryland",2024-07-18,2024-07-24,5283,"registered voters","Kamala Harris",36.8
"44",856,60,4.02,0.33,"Hybrid","Nebraska",2024-02-05,2024-02-07,2983,"likely voters","other",64
"45",654,70,5.26,-0.2,"In-Person","Kentucky",2024-02-27,2024-02-29,1073,"registered voters","other",66.8
"46",71,59,3.74,-0.05,"In-Person","Indiana",2024-09-29,2024-10-04,7657,"registered voters","other",44.7
"47",338,3,1.21,0.37,"In-Person","Florida",2024-03-11,2024-03-12,5762,"registered voters","other",61.9
"48",502,15,6.77,0.52,"Online","Illinois",2024-10-05,2024-10-07,1763,"registered voters","Kamala Harris",57.5
"49",475,11,6.99,0.99,"In-Person","South Carolina",2024-06-10,2024-06-15,1486,"registered voters","Donald Trump",33.2
"50",990,7,2.39,-0.98,"In-Person","Delaware",2024-05-14,2024-05-17,5807,"registered voters","Donald Trump",45.3
"51",418,46,0.78,-0.1,"In-Person","Michigan",2024-03-23,2024-03-24,1720,"likely voters","other",63.9
"52",692,40,6.65,-0.27,"Hybrid","Idaho",2024-05-18,2024-05-23,7074,"registered voters","Kamala Harris",65.2
"53",64,58,6.29,0.26,"Hybrid","Tennessee",2024-03-12,2024-03-16,1828,"likely voters","Kamala Harris",62.2
"54",734,97,2.75,-0.86,"Hybrid","Missouri",2024-02-19,2024-02-22,2896,"likely voters","other",58.5
"55",167,77,4.27,-0.49,"In-Person","New York",2024-04-10,2024-04-15,9828,"registered voters","Kamala Harris",56.9
"56",950,54,8.95,-0.37,"Hybrid","Iowa",2024-02-07,2024-02-11,6454,"likely voters","Donald Trump",50.6
"57",592,98,8.76,0.1,"Hybrid","Iowa",2024-07-10,2024-07-15,2031,"registered voters","other",48.7
"58",16,73,5.68,0.59,"In-Person","Colorado",2024-03-28,2024-04-03,2084,"likely voters","Kamala Harris",30.4
"59",44,8,1.94,0.35,"Online","Arizona",2024-01-21,2024-01-26,5220,"likely voters","Kamala Harris",50.3
"60",456,37,3.08,0.34,"Online","Rhode Island",2024-07-18,2024-07-25,9442,"registered voters","other",67.3
"61",364,24,9.07,-0.89,"In-Person","Arizona",2024-04-02,2024-04-09,2819,"registered voters","other",41
"62",889,87,6.94,0.59,"Hybrid","Maryland",2024-04-13,2024-04-17,9571,"registered voters","Kamala Harris",55.5
"63",304,31,8.29,-0.26,"Online","Montana",2024-05-24,2024-05-26,3430,"registered voters","Kamala Harris",56.7
"64",699,37,1.82,-0.84,"Online","Rhode Island",2024-09-19,2024-09-26,7324,"likely voters","other",34.6
"65",520,91,5.58,0.26,"Hybrid","Nevada",2024-06-20,2024-06-24,4504,"registered voters","Donald Trump",60.7
"66",506,44,4.51,-0.78,"Hybrid","Kansas",2024-09-13,2024-09-20,2978,"likely voters","Donald Trump",55.3
"67",846,19,0.13,0.88,"In-Person","California",2024-06-23,2024-06-24,8627,"registered voters","other",38.6
"68",642,61,3.04,-0.92,"In-Person","Colorado",2024-09-11,2024-09-17,5804,"likely voters","other",42.2
"69",209,41,0.59,0.86,"In-Person","Illinois",2024-07-08,2024-07-15,5059,"likely voters","Donald Trump",60.2
"70",187,22,6.13,-0.85,"Hybrid","Missouri",2024-07-21,2024-07-22,1725,"likely voters","Kamala Harris",67.4
"71",453,54,2.81,-0.95,"Online","Oklahoma",2024-05-13,2024-05-20,2679,"registered voters","Donald Trump",47
"72",444,3,8.11,-0.71,"In-Person","Colorado",2024-03-19,2024-03-22,7791,"registered voters","Kamala Harris",57.7
"73",84,56,0.28,-0.1,"Hybrid","Vermont",2024-03-12,2024-03-14,7165,"likely voters","Donald Trump",34.5
"74",504,40,1.96,0.84,"Online","Minnesota",2024-07-04,2024-07-07,5652,"likely voters","Donald Trump",63.3
"75",719,10,0.56,0.53,"Hybrid","Connecticut",2024-03-20,2024-03-27,1642,"likely voters","Donald Trump",36.5
"76",204,42,8.37,0.08,"Online","Massachusetts",2024-04-24,2024-04-30,1720,"registered voters","Kamala Harris",44.8
"77",805,26,2.79,-0.22,"Online","South Dakota",2024-08-31,2024-09-02,5756,"registered voters","Kamala Harris",54.6
"78",884,20,4.62,0.81,"Online","Arkansas",2024-09-21,2024-09-26,6691,"registered voters","Donald Trump",61.9
"79",125,52,7.75,-0.38,"Online","Nebraska",2024-05-17,2024-05-21,9016,"registered voters","other",69.9
"80",24,70,1.28,0.43,"Hybrid","Arizona",2024-01-30,2024-02-04,4288,"registered voters","Kamala Harris",38.5
"81",646,57,6.06,0.63,"Hybrid","Nevada",2024-04-06,2024-04-08,4828,"registered voters","Kamala Harris",54.7
"82",885,33,4.08,-0.88,"Hybrid","Kentucky",2024-02-09,2024-02-13,6495,"likely voters","Donald Trump",56.9
"83",587,8,2.8,-0.7,"In-Person","Kansas",2024-01-04,2024-01-08,5020,"registered voters","Donald Trump",58.3
"84",228,45,3.24,0.77,"Hybrid","Montana",2024-10-15,2024-10-20,6679,"registered voters","other",47.8
"85",420,84,0.74,0.11,"Hybrid","Wisconsin",2024-09-14,2024-09-18,3111,"likely voters","other",30.7
"86",994,72,1.27,0.2,"In-Person","West Virginia",2024-04-28,2024-05-04,5975,"likely voters","Donald Trump",30.5
"87",782,33,2.78,0.98,"Online","Kansas",2024-09-03,2024-09-06,4532,"likely voters","Kamala Harris",66.5
"88",785,36,1.98,-0.66,"Online","Rhode Island",2024-01-10,2024-01-11,543,"likely voters","Kamala Harris",50.6
"89",874,69,0.68,-0.52,"Online","Minnesota",2024-07-27,2024-07-31,5473,"likely voters","Kamala Harris",36.1
"90",25,80,9.27,0.24,"Online","New York",2024-03-02,2024-03-05,7564,"registered voters","other",41
"91",786,69,4.88,-0.79,"Online","Montana",2024-08-31,2024-09-02,2118,"registered voters","Kamala Harris",47.6
"92",893,93,3.46,0.22,"Hybrid","Ohio",2024-02-16,2024-02-21,3639,"likely voters","Kamala Harris",30.1
"93",705,63,5.51,0.01,"Online","Texas",2024-04-22,2024-04-28,1491,"registered voters","other",52.6
"94",122,60,4.18,-0.2,"Hybrid","Colorado",2024-04-10,2024-04-17,7379,"registered voters","Donald Trump",48.2
"95",251,63,4.37,0.03,"Hybrid","Virginia",2024-03-20,2024-03-24,5040,"registered voters","other",31.7
"96",595,20,5.17,0.89,"Online","Montana",2024-05-26,2024-05-28,4214,"likely voters","other",39.2
"97",979,44,5.81,-0.73,"In-Person","Connecticut",2024-05-10,2024-05-16,8612,"likely voters","Donald Trump",30.4
"98",337,30,8.1,-0.72,"Online","Nevada",2024-10-14,2024-10-17,1036,"likely voters","Kamala Harris",37
"99",834,12,8.59,-0.43,"In-Person","Alabama",2024-06-30,2024-07-06,4634,"registered voters","Kamala Harris",38.3
"100",324,8,3.74,0.47,"Hybrid","Vermont",2024-03-10,2024-03-12,9874,"registered voters","Kamala Harris",35
